Pos.,Time,Athlete,Country,Venue,Date
14,12.43 (-0.9),Lucyna Kalek,Poland,Hannover,19 August 1984
14,12.43 (-0.3),Michelle Perry,United States,Carson,26 June 2005
14,12.43 (+0.2),Lolo Jones,United States,Beijing,18 August 2008
14,12.43 (+1.2),Queen Harrison,United States,Des Moines,22 June 2013
18,12.44 (-0.5),Gloria Siebert,East Germany,Rome,4 September 1987
18,12.44 (-0.8),Olga Shishigina,Kazakhstan,Lucerne,27 June 1995
18,12.44 (+0.4),Glory Alozie,Nigeria,Monaco,8 August 1998
18,12.44 (+0.6),Damu Cherry,United States,Lausanne,7 July 2006
22,12.45 (+1.3),Cornelia Oschkenat,East Germany,Neubrandenburg,11 June 1987
22,12.45 (+1.4),Brigitte Foster-Hylton,Jamaica,Eugene,24 May 2003
22,12.45 (+1.5),Olena Krasovska,Ukraine,Athens,24 August 2004
22,12.45 (+1.4),Virginia Crawford,United States,New York City,2 June 2007
