AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
Petropavlovsk-Kamchatsky Air Enterprise,Государственное унитарное предприятие Камчатского края «Камчатское авиационное предприятие»,330,PTK,,ДЕ,PETROKAM,
Polar Airlines,ОАО «Авиакомпания «Полярные авиалинии»,538,RKA,,ЯП,AIR SAKHA,
Polet Airlines,ЗАО «Авиакомпания «Полет»,14,POT,YQ,ПО,POLET,
Pskovavia,ОАО «Псковавиа»,465,PSW,,ЛП,PSKOVAVIA,
Red Wings Airlines,ЗАО «Ред Вингс»,57,RWZ,WZ,ИН,AIR RED,
Rosneft-Baltica,ЗАО «Роснефть-Балтика»,152,RNB,,ЖЕ,ROSBALT,
Rossiya,ОАО «Авиакомпания «Россия»,2,SDM,FV,ПЛ,RUSSIA,
Rosvertol-Avia,ЗАО «Авиакомпания «Роствертол-Авиа»,514,RVT,,ВЛ,ROSTVERTOL,
Rusaero,ЗАО «Авиационная компания «РУССЭЙР»,,RUR,,,RUSSTAR,
RusJet,ОАО «Авиакомпания «РусДжет»,498,RSJ,,ШТ,RUSJET,
RusLine,ЗАО «Авиационная Компания «РусЛайн»,225,RLU,7R,РГ,RUSLINE AIR,
Russian Air Force,,,RFF,,,RUSSIAN AIRFORCE,
Russian Sky Airlines,ЗАО «Авиакомпания «Русское небо»,61,ESL,P7,П7,RADUGA,
S7 Airlines (OJSC Siberia Airlines ),ОАО «Авиакомпания «Сибирь»,31,SBI,S7,С7,SIBERIAN AIRLINES,
