AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
Vertical-T,ООО «Авиакомпания Вертикаль-Т»,79,VLT,,ИТ,VERTICAL,
Vertical-Team,ООО «Авиакомпания Вертикаль-Тим»,,VCL,,ФШ,,
VIM Airlines,ООО «Авиакомпания «ВИМ-АВИА»,451,MOV,NN,НН,MOV AIR,
Vityaz-aero,ООО «Авиационная компания «Витязь-Аэро»,536,,,ЯФ,,
Vladivostok air,ОАО «ВЛАДИВОСТОК АВИА»,190,VLK,XF,ДД,VLADIVOSTOK AIR,
Volga-Dnepr,ООО «Авиакомпания Волга-Днепр»,21,VDA,VI,ВД,VOLGA-DNEPR,
Vologda Aviation Enterprise,ОАО «Вологодское авиационное предприятие»,195,VGV,,ВГ,VOLOGDA AIR,
Voronezh Aircraft Production Association,Авиация общего назначения «Воронежское акционерное самолетостроительное общество»,,VSO,,ВШ,VASO,
Vostok Airlines,ОАО «Авиационная компания «Восток»,266,VTK,,ДХ,VOSTOK,
Vzlet,ЗАО «НПО «Взлет»,537,VZL,,НБ,VZLYET,
Yakutia Airlines,ОАО «Авиакомпания «Якутия»,464,SYL,R3,ЯК,AIR YAKUTIA,
Yamal Airlines,ОАО «Авиационная транспортная компания «Ямал»,142,LLM,YC,ЛА,YAMAL,
Yamal air company,ООО «Авиационная компания «Ямал»,526,,,ЯЛ,,
Zonalnoye Air Enterprise,ОАО «Авиапредприятие «Зональное»,,,DF,ДФ,,
