AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
Azimut,ООО «Авиакомпания Азимут»,,MUT,,ЯЮ,IGAVIA,
Barkol Airlines,ООО «Авиакомпания «Баркол»,126,BKL,,ИР,BARCOL,
Baltic Airlines,ЗАО «Авиакомпания «Балтийские авиалинии»,237,BLL,,БП,BALTIC AIRLINES,
VC Belogorie,ООО «Волейбольный клуб «Белогорье»,,BLO,,ЖХ,VC BELOGORIE,
Bural,ОАО «Авиакомпания Бурятские авиалинии»,218,BUN,U4,БЮ,BURAL,
Bylina,ЗАО «Авиакомпания «Былина»,129,BYL,,БА,BYLINA,
Centre-South,ООО «Авиакомпания «Центр-Юг»,169,CTS,DF,ФР,CENTRE-SOUTH,
Chukotavia,Федеральное государственное унитарное предприятие «ЧукотАВИА»,108,,,АД,CHUKOTAVIA,
Dalnerechensk avia,ООО «Дальнереченск Авиа»,549,,,ДА,,
Delta K,ООО «Производственно — коммерческое авиационное предприятие «Дельта К»,114,,,ШИ,,
Donavia,ОАО «Донавиа»,89,DNV,D9,Д9,DONAVIA,
Elcovka,ЗАО «Авиапредприятие «Ельцовка»,532,,,ЕД,,External images RA-24430
Flight Inspections and Systems,ЗАО «Летные проверки и системы»,467,LTS,,ЛТ,SPECAIR,
Flying technology airline limited,ООО «Авиакомпания «Летные технологии»,,FTG,,ШЦ,TECHNOLOGY,
