AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
Tomsk Avia,ООО «Авиакомпания «Томск Авиа»,494,TSK,,СП,TOMSK AVIA,
Transaero Airlines,ОАО «Авиационная компания «Трансаэро»,51,TSO,UN,УН,TRANSOVIET,
TSSKB-Progress,ФГУП «Государственный научно-производственный ракетно-космический центр «ЦСКБ-Прогресс»,,PSS,,ЦС,PROGRESS,
Tulpar,ООО «Авиакомпания «Тулпар»,544,,,ТШ,,
Tulpar air,ООО «Авиакомпания «Тулпар Эйр»,359,TUL,,ТЫ,URSAL,
Turuhan,ООО «Авиакомпания «Турухан»,90,,,УТ,,
Tuva Airlines,Республиканское казенное предприятие «Авиакомпания «Тувинские авиационные линии»,547,,,КФ,AIR TYVA,
Uktus,ЗАО «Авиакомпания «Уктус»,540,UKT,,УБ,UKTUS,
Ulyanovsk Higher Civil Aviation School,ФГБОУ ВПО «Ульяновское высшее авиационное училище гражданской авиации (институт)»,,UHS,,ЖК,PILOT AIR,
Ural Airlines,ОАО «Авиакомпания «Уральские авиалинии»,18,SVR,U6,У6,SVERDLOVSK AIR,
UTair Aviation,ОАО «Авиакомпания «ЮТэйр»,6,UTA,UT,ЮТ,UTAIR,
UTair Cargo,ЗАО «ЮТэйр-Карго»,53,TUM,,ПП,TUMTEL,
UTair Express,ООО «ЮТэйр-Экспресс»,504,UTX,UR,ЮР,KOMINTER,
UTair — Veriljetnyje uslugi,ОАО «ЮТэйр — Вертолётные услуги»,34,NFT,,НФ,NEFTEAVIA,
