AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
Moskovia Airlines,ОАО «Авиакомпания Московия»,389,GAI,3R,3Р,GROMOV AIRLINE,
MOSCOW AVIATION CENTRE,Государственное казенное учреждение города Москвы «Московский авиационный центр»,546,,,ЦФ,,
Murmansk aviation enterprise,ООО «Мурманское авиационное предприятие»,541,MRM,,МУ,MURMAN,
Naryan-Mar United Aviation Squadron,ОАО «Нарьян-Марский объединенный авиаотряд»,497,,,НЯ,,
Nizhnevartovskavia,ОАО «Нижневартовскавиа»,470,NVK,,НП,VARTOVSKAVIA,
Nordavia,ЗАО «Нордавиа — региональные авиалинии»,466,AUL,5N,5Н,ARCHANGELSK AIR,
Nordwind Airlines,ООО «Северный Ветер»,516,NWS,N4,КЛ,NORDWIND,
Northwest Air Base,Государственное учреждение Республики Карелия «Северо-Западная база авиационной охраны лесов»,520,,,БХ,,
Orenburg Airlines,ОАО «Оренбургские авиалинии»,244,ORB,R2,Р2,ORENBURG,
Orenburg Tsentralny Airport,Федеральное государственное унитарное предприятие «Международный аэропорт «Оренбург»,539,ORG,O7,УЭ,ORENAVIA,
Orion-x,ООО «Орион-Икс»,,OIX,,,ORIONIX,
PANH,ОАО «Научно-производственная компания «ПАНХ»,69,PNH,,ЮФ,KUBAN LIK,
PANH Aircompany,ООО «Авиационная компания «ПАНХ»,542,,,ШС,,
Petropavlovsk,ЗАО «Управляющая компания «Петропавловск»,,PPV,,ПВ,PAVLOVSK,
