AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO,Filler_1
Saratov Airlines,ОАО «Саратовские авиалинии»,102,SOV,6W,6В,SARATOV AIR,,tkriBBw
Severo-zapad,ООО «Авиакомпания «Северо-Запад»,548,,,ЕИ,,,BYYYpqVJ
Severstal Air Company,ООО «Авиапредприятие «Северсталь»,251,SSF,D2,Д2,SEVERSTAL,,DkyyO
Shar Ink,ООО «Производственная многоотраслевая авиакомпания «Шар инк Лтд.»,208,UGP,,ЖВ,SHARINK,,xOGRv
Sibia,ООО «Авиакомпания «СИБИА»,99,SBD,,ШВ,SIBIA,External images RA-40487,egBRtW
Simargl Air Company,ООО «Авиакомпания «СИМАРГЛ»,246,SML,,СГ,SIMAVIA,,rGprIQU
Sirius-Aero,ООО «Авиакомпания «Сириус-Аэро»,207,CIG,,ВЦ,SIRIUS AERO,,YrbLHmln
Skol Airlines,ООО «Авиакомпания «СКОЛ»,228,CDV,,СД,SKOL,,vOtRLv
Smolenskaerotrans,ЗАО «Смоленскаэротранс»,,,,УФ,,,RWBYYfb
Sokol,ЗАО «Авиакомпания «Сокол»,284,PIV,,ЮП,AEROSOKOL,,hEZfUcCf
Spark+,ЗАО «Авиакомпания «СПАРК авиа»,73,BVV,,ФЮ,GAZAVIA,,EFqyiydM
"SPECIAL DETACHMENT - RUSSIA, FED.ST.B.I.",ФГБУ «Специальный лётный отряд «Россия» Управления делами Президента Российской Федерации,530,RSD,,ЛР,STATE AERO,,XBOWInr
State Unitary Air Enterprise MChS Rossii,ФГУАП МЧС России,8,SUM,,РФ,SUMES,,YcWqVVKM
Taimyr Air Company,ОАО «Авиакомпания «Таймыр»,452,TYA,Y7,ТИ,TAIMYR,,lqkyU
