AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
2nd Arkhangelsk United Aviation Division,ОАО «2-й Архангельский объединенный авиаотряд»,463,OAO,,АЧ,DVINA,
223rd Flight Unit,ФГКУ «Государственная авиакомпания «223 летный отряд» Министерства обороны Российской Федерации,239,CHD,,ЮЦ,CHKALOVSK-AVIA,
224th Flight Unit,ОАО «Государственная авиакомпания «224 летный отряд»,529,TTF,,ЮИ,CARGO UNIT,
Abakan-Avia,ЗАО «Авиакомпания «Абакан-Авиа»,198,ABG,,ГН,ABAKAN-AVIA,
AeroBratsk,ОАО «Аэропорт Братск»,240,BRP,,БВ,AEROBRA,
Aeroflot-Russian Airlines,ОАО «Аэрофлот — российские авиалинии»,1,AFL,SU,СУ,AEROFLOT,
AeroGeo,ООО «АэроГео»,517,,,ЕГ,,
Aerokuzbas,ООО «Аэрокузбасс»,211,NKZ,,БН,NOVOKUZNETSK,
Aerolimousine,ООО «Аэролимузин»,505,LIN,,ЛИ,AEROLIMOUSINE,
Aeroservice,"ООО «Аэросервис» (Красноярский край, г. Ачинск)",,,,ЖС,,
Aeroservice,"ООО «Аэросервис» (Забайкальский край, г. Чита)",,,,ЯУ,,
Aeroservice,"ООО «Авиакомпания «Аэросервис» (Дагестан, г. Махачкала)",408,,,ЮГ,,
Air Bashkortostan,ООО «Авиакомпания «Башкортостан»,490,BBT,ZU,БТ,AGYDAL,
AirBridgeCargo Airlines,ООО «Авиакомпания ЭйрБриджКарго»,501,ABW,RU,БК,AIRBRIDGE CARGO,
Air Management Group,ЗАО «Авиа Менеджмент Груп»,481,DXT,,ДТ,DEXTER,
