AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
Kazan Air Enterprise,ОАО «Казанское авиапредприятие»,356,,,ЛЖ,,
Khabarovsk Airlines,Краевое государственное унитарное предприятие «Хабаровские авиалинии»,459,,,НИ,,
Kogalymavia,ООО «Авиакомпания Когалымавиа»,165,KGL,7K,7К,KOGALYM,
Komiaviatrans,ОАО «Комиавиатранс»,174,KMA,,ИГ,KOMI AVIA,
Konvers Avia,ЗАО «Авиакомпания Конверс Авиа»,419,CVS,,ЕШ,CONVERS,
Kosmos,ЗАО «Производственное объединение «Космос» ОАО РКК «Энергия» им. С. П. Королева,444,KSM,K6,ГК,KOSMOS,
Kostroma Air Enterprise,ОАО «Костромское авиапредприятие»,489,,,КБ,,
KrasAvia,Государственное предприятие Красноярского края «КрасАвиа»,484,SSJ,,ЭК,SIBERIAN SKY,
Lukiaviatrans,ООО «Лукиавиатранс»,,LKV,,УЛ,,
LUKoil-Avia,ООО «ЛУКОЙЛ-АВИА»,469,LUK,,ЛЩ,LUKOIL,
MBKS,ОАО «МБК-С»,,PLG,,,PILGRIM,
Meridian (1),Авиакомпания «Меридиан»,238,MMM,,МП,AVIAMERIDIAN,
Meridian+,ООО «Научно-производственное аэрогеодезическое предприятие «Меридиан+»,,MDN,,ЦЕ,,
Moscow Aircraft Overhaul Plant,ЗАО «Московский авиационно-ремонтный завод РОСТО»,25,,,РЮ,,
