AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
Gazpromavia,ООО «Авиапредприятие «Газпром авиа»,423,GZP,4G,ОП,GAZPROM,
Globus,ООО «Глобус»,515,GLP,GH,ГЛ,GLOBUS,
Grozny Avia,ОАО «Авиакомпания «Грозный Авиа»,519,GOZ,ZG,ГГ,GROZNYY AVIA,
Helidrive,ООО «Хели-драйв»,550,,,РЖ,,
Helix,ЗАО «Авиакомпания «Геликс»,382,,,ПЮ,,
I-Fly,ООО «АЙ ФЛАЙ»,533,RSY,H5,ФЛ,RUSSIAN SKY,
IrAero,ЗАО «Авиакомпания «ИрАэро»,480,IAE,IO,РД,IRAERO,
Ikar,ООО «Авиакомпания «Икар»,36,KAR,,АЬ,KRASJET,
Izhavia,ОАО «Ижавиа»,479,IZA,I8,ИЖ,IZHAVIA,
JET AIR GROUP,ОАО «Джет Эйр Групп»,491,JSI,,СЭ,SISTEMA,
Jet-2000,ООО «Авиакомпания ДЖЕТ-2000»,,JTT,,,MOSCOW JET,
KAMCHATSKIE AVIALINEE air company,ООО «Авиационная компания «Камчатские авиалинии»,127,,,ЕФ,,
KAPO Avia,ЗАО «КАПО Авиа»,455,KAO,G7,ЛЯ,KAZAVIA,
Katekavia,ООО «Производственно-коммерческая фирма «Катэкавиа»,140,KTK,,КЮ,KATEKAVIA,
