Stage,Date,Route,Terrain,Length,Winner,Noise_Field_1,Random_Column_2,Irrelevant_3
12A,12 July,Tarbes – Valence d'Agen,Plain stage,158 km (98 mi),Cancelled,vhAEvd,SgIV2m,1XoVG
12B,12 July,Valence d'Agen – Toulouse,Plain stage,96 km (60 mi),Jacques Esclassan (FRA),dxUBg,NmhpKm,eAWdyn4
13,13 July,Figeac – Super Besse,Hilly stage,221 km (137 mi),Paul Wellens (BEL),tMUgGcDA,iyKle6h,G9QJIiWg
14,14 July,Besse en Chandesse – Puy de Dôme,Individual time trial,52 km (32 mi),Joop Zoetemelk (NED),lxHgFsr,HfCUo,AvFDyXC
15,15 July,St Dier d'Auvergne – St Etienne,Hilly stage,196 km (122 mi),Bernard Hinault (FRA),IUJmUTQE,Q7Ff1,GcnYBIJ
16,16 July,St Etienne – L'Alpe d'Huez,Stage with mountain(s),241 km (150 mi),Hennie Kuiper (NED),jSMWw,BVYti1w,owiiQNEX
17,18 July,Grenoble – Morzine,Stage with mountain(s),225 km (140 mi),Christian Seznec (FRA),RKpeWZ,V7nHC,9lkJKiC
18,19 July,Morzine – Lausanne,Plain stage,137 km (85 mi),Gerrie Knetemann (NED),TFdDl,SpdcIp,14mjHU
19,20 July,Lausanne – Belfort,Plain stage,182 km (113 mi),Marc Demeyer (BEL),BbbOkMn,Jv3bOcwo,GBHyz
20,21 July,Metz – Nancy,Individual time trial,72 km (45 mi),Bernard Hinault (FRA),TSRHFk,Tyuc1N,Pyb02KGF
21,22 July,Epernay – Senlis,Plain stage,207 km (129 mi),Jan Raas (NED),kSLkDjIo,IryBn,eD6aaBN
22,23 July,St Germain en Laye – Paris (Champs-Élysées),Plain stage,162 km (101 mi),Gerrie Knetemann (NED),HKmnW,ALNk3M,Sel7lmh7
