Stage,Date,Route,Terrain,Length,Winner
P,29 June,Leiden,Individual time trial,5 km (3.1 mi),Jan Raas (NED)
1A,30 June,Leiden – St Willebrord,Plain stage,135 km (84 mi),Jan Raas (NED)
1B,30 June,St Willebrord – Brussel,Plain stage,100 km (62 mi),Walter Planckaert (BEL)
2,1 July,Brussel – St Amand les Eaux,Plain stage,199 km (124 mi),Jacques Esclassan (FRA)
3,2 July,St Amand les Eaux – St Germain en Laye,Plain stage,244 km (152 mi),Klaus-Peter Thaler (GER)
4,3 July,Evreux – Caen,Team time trial,153 km (95 mi),TI-Raleigh
5,4 July,Caen – Maze Montgeoffroy,Plain stage,244 km (152 mi),Freddy Maertens (BEL)
6,5 July,Maze Montgeoffroy – Poitiers,Plain stage,162 km (101 mi),Sean Kelly (IRE)
7,6 July,Poitiers – Bordeaux,Plain stage,242 km (150 mi),Freddy Maertens (BEL)
8,7 July,St Emilion – Ste Foy la Grande,Individual time trial,59 km (37 mi),Bernard Hinault (FRA)
9,8 July,Bordeaux – Biarritz,Plain stage,233 km (145 mi),Miguel Maria Lasa (ESP)
10,10 July,Biarritz – Pau,Hilly stage,192 km (119 mi),Henk Lubberding (NED)
11,11 July,Pau – St Lary Soulan,Stage with mountain(s),161 km (100 mi),Mariano Martínez (FRA)
