Year,Title,Catalog,Year,Title,Catalog,Noise_Field_1,Noise_Field_2,Extra_Data_3
1936,Swing Mr. Charlie / Stomping at the Savoy (w. Bob Crosby's Orchestra),Decca 848,1945,This Heart of Mine / Love,Decca 18660,utGtTYsj,VFmKg,296
1937,Everybody Sing,Decca 1332,1945,You'll Never Walk Alone / Smilin' Through,Decca 23539,vfBtTC,GtfinI,785
1937,All God's Chillun Got Rhythm / Everybody Sing,Decca 1432,1945,"On the Atchison, Topeka and the Santa Fe / In the Valley (Where the Evening Sun Goes Down)",Decca 23438,FIAKi,gPeYnBkq,270
1937,(Dear Mr. Gable) You Made Me Love You / You Can't Have Everything,Decca 1463,1945,Round and Round,Decca 23459,pDmWtdX,FRGzuybG,171
1938,"Cry, Baby, Cry / Sleep, My Baby, Sleep",Decca 1796,1945,It's a Great Big World (w. Virginia O'Brien and Betty Russell),Decca 23460,khSTzT,WZovOAV,403
1938,It Never Rains But It Pours / Ten Pins in the Sky,Decca 2017,1946,"For You, For Me, Forevermore / Aren't You Kinda Glad We Did? (w. Dick Haymes)",Decca 23687,aLvSn,GDbwivDD,189
1939,Over the Rainbow / The Jitterbug,Decca 2672,1946,Changing My Tune / Love,Decca 23688,nTQOgZf,kJcGaeVo,259
1939/1937,Over the Rainbow / (Dear Mr. Gable) You Made Me Love You,MGM KGC-166,1946,There Is No Breeze / Don't Tell Me That Story,Decca 23746,Wqqby,VlwUC,723
1939,Embraceable You / Swanee,Decca 2881,1947,I Wish I Were in Love Again / Nothing but You,Decca 24469,KmMvkNE,wTNqhN,789
1939,Zing! Went the Strings of My Heart / Fascinatin' Rhythm,Decca 18543,1947,Look for the Silver Lining,MGM 30002,soAfAiW,NqKDc,702
1939,In Between / Sweet Sixteen,Decca 15045,1947,Who?,MGM 30003,GZSXBpBa,ZaNSDrro,503
1939,Oceans Apart / Figaro,Decca 2873,1947/1949,Look for the Silver Lining / Merry Christmas,MGM 30212,SqTXtXu,lfGwNDm,574
1940,Friendship (w. Johnny Mercer) / The Wearing of the Green,Decca 3165,1948,Be a Clown,MGM 30097,qMrbxqF,RDTJvyHr,427
