No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date
22,18,"\Worth a Princess's Ransom\"" / \""Romance Under the Moon! Usagi's First Kiss\""",,
"\""Gekka no romansu! Usagi no hatsu kissu\"" (月下のロマンス!うさぎの初キッス)""","August 15, 1992","October 4, 1995",,
23,19,"\Molly's Folly\"" / \""Wish Upon a Shooting Star! Naru's Pure Love\""",,
"\""Nagareboshi ni negai wo! Naru-chan no jun'ai\"" (流れ星に願いを!なるちゃんの純愛)""","August 22, 1992","October 5, 1995",,
24,20,"\A Friend in Wolf's Clothing\"" / \""Naru's Cry! Nephrite Dies for Love\""",,
"\""Naru-chan gōkyū! Nefuraito ai no shi\"" (なるちゃん号泣!ネフライト愛の死)""","August 29, 1992","October 6, 1995",,
25,21,"\Jupiter Comes Thundering In\"" / \""Jupiter"," the Brawny Girl in Love\""",
"\""Koisuru kairiki shōjo"," Jupitā-chan\"" (恋する怪力少女"," ジュピターちゃん)""","September 5, 1992","October 9, 1995"
26,22,"\The Power of Friendship\"" / \""Bring a Smile to Naru's Face! Usagi's Friendship\""",,
"\""Naru-chan ni egao wo! Usagi no yūjō\"" (なるちゃんに笑顔を!うさぎの友情)""","September 12, 1992","October 10, 1995",,
