No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date
"\""Mamore koi no merodi! Usagi wa Kyūpiddo\"" (守れ恋の曲!うさぎはキューピッド)""","April 18, 1992",N/A,,
7,4,"\So You Want to Be a Superstar\"" / \""Usagi Learns a Lesson! The Road to Stardom is Tough\""",,
"\""Usagi hansei! Sutā no michi wa kibishii\"" (うさぎ反省!スターの道はきびしい)""","April 25, 1992","September 14, 1995",,
8,5,"\Computer School Blues\"" / \""Is the Genius Girl a Monster? Brainwashing School of Terror\""",,
"\""Tensai shōjo wa yōma na no? Kyōfu no sennōjuku\"" (天才少女は妖魔なの?恐怖の洗脳塾)""","May 2, 1992","September 15, 1995",,
9,6,"\Time Bomb\"" / \""Usagi's Misfortune! Watch Out for the Rushing Clocks\""",,
"\""Usagi no sainan! Awate tokei ni goyōjin\"" (うさぎの災難!あわて時計にご用心)""","May 9, 1992","September 18, 1995",,
10,7,"\An Uncharmed Life\"" / \""Cursed Buses! Fire Warrior Mars Appears\""",,
"\""Norowareta basu! Honō no senshi Māzu tōjō\"" (呪われたバス!炎の戦士マーズ登場)""","May 16, 1992","September 19, 1995",,
11,8,"\Nightmare in Dreamland\"" / \""Usagi vs. Rei? A Nightmare in Dreamland\""",,
"\""Usagi to Rei taiketsu? Yume rando no akumu\"" (うさぎとレイ対決?夢ランドの悪夢)""","May 23, 1992","September 20, 1995",,
