No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date
12,9,"\Cruise Blues\"" / \""I Want a Boyfriend"," Too! A Trap on a Luxury Cruise Ship\""",
"\""Watashi datte kare ga hoshii! Gōkasen no wana\"" (私だって彼が欲しい!豪華船のワナ)""","May 30, 1992","September 21, 1995",,
13,10,"\Fight to the Finish\"" / \""Girl Power! The End of Jadeite\""",,
"\""Onna no ko wa danketsu yo! Jedaito no saigo\"" (女の子は団結よ!ジェダイトの最期)""","June 6, 1992","September 22, 1995",,
14,11,"\Match Point for Sailor Moon\"" / \""A Powerful New Enemy! Nephrite's Evil Crest\""",,
"\""Arata naru kyōteki"," Nefuraito ma no monshō\"" (新たなる強敵"," ネフライト魔の紋章)""","June 13, 1992","September 25, 1995"
15,12,"\An Unnatural Phenomena\"" / \""Usagi is Frantic! Rei's First Date\""",,
"\""Usagi aseru! Rei-chan hatsu dēto\"" (うさぎアセる!レイちゃん初デート)""","June 20, 1992","September 26, 1995",,
16,13,"\Wedding Day Blues\"" / \""Dream of a White Dress! Usagi Becomes a Bride\""",,
"\""Junpaku doresu no yume! Usagi hanayome ni naru\"" (純白ドレスの夢!うさぎ花嫁になる)""","June 27, 1992","September 27, 1995",,
