No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date
1,1,"\A Moon Star Is Born\"" / \""Crybaby Usagi's Magnificent Transformation\""",,
"\""Nakimushi Usagi no karei naru henshin\"" (泣き虫うさぎの華麗なる変身)""","March 7, 1992","September 11, 1995",,
2,--,"\Punish Them! The House of Fortune is the Monster Mansion\""",,
"\""Oshioki yo! Uranai house wa yōma no yakata\"" (おしおきよ!占いハウスは妖魔の館)""","March 14, 1992",N/A,,
3,2,"\Talk Radio\"" / \""Mysterious Sleeping Illness"," Protect the Girls' Hearts in Love\""",
"\""Nazo no nemuribyō"," mamore otome no koisuru kokoro\"" (謎のねむり病"," 守れ乙女の恋する心)""","March 21, 1992","September 12, 1995"
4,3,"\Slim City\"" / \""Usagi Will Teach You How to Lose Weight!\""",,
"\""Usagi ga oshiemasu! Surimu ni naruhō\"" (うさぎが教えます!スリムになる法)""","March 28, 1992","September 13, 1995",,
5,--,"\A Monster's Scent! Chanela Steals Love\""",,
"\""Yōma no kaori! Shanēra wa ai wo nusume\"" (妖魔の香り!シャネラーは愛を盗む)""","April 11, 1992",N/A,,
6,--,"\Protect the Melody of Love! Usagi is a Cupid\""",,
