No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date,Unused_1,Extra_Data_2
27,23,"\Mercury's Mental Match\"" / \""Love for Ami?! A Boy Who Can Predict the Future\""",,,,93
"\""Ami-chan e no koi!? Mirai yochi no shōnen\"" (亜美ちゃんへの恋!?未来予知の少年)""","October 10, 1992","October 11, 1995",,,,77
28,24,"\An Artful Attack\"" / \""Illustrations of Love"," Are Usagi and Mamoru Getting Closer?\""",,,206
"\""Koi no irasuto"," Usagi to Mamoru ga sekkin?\"" (恋のイラスト"," うさぎと衛が接近?)""","October 17, 1992","October 12, 1995",,269
29,25,"\Too Many Girlfriends\"" / \""Total Chaos! The Messy Square Relationship\""",,,,573
"\""Daikonsen! Guchagucha koi no shikaku kankei\"" (大混戦!グチャグチャ恋の四角関係)""","October 24, 1992","October 13, 1995",,,,892
30,26,"\Grandpa's Follies\"" / \""Grandpa Goes Crazy"," Rei's in Jeopardy\""",,,358
"\""Ojī-chan ranshin"," Rei-chan no kiki\"" (お爺ちゃん乱心"," レイちゃんの危機)""","October 31, 1992","October 16, 1995",,523
31,27,"\Kitty Chaos\"" / \""Loved and Chased! Luna's Worst Day Ever\""",,,,55
"\""Koisarete owarete! Runa no saiaku no hi\"" (恋されて追われて!ルナの最悪の日)""","November 7, 1992","October 17, 1995",,,,48
