No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date
37,33,"\Little Miss Manners\"" / \""Aim to be a Princess? Usagi's Weird Training\""",,
"\""Mezase purinsesu? Usagi no chintokkun\"" (めざせプリンセス?うさぎの珍特訓)""","December 19, 1992","October 25, 1995",,
38,34,"\Ski Bunny Blues\"" / \""The Snow! The Mountains! Our Friendship! And of Course", a Monster," Too\"""
"\""Yuki yo Yama yo Yūjō yo! Yappari yōma mo yo!\"" (雪よ山よ友情よ!やっぱり妖魔もよ)""","December 26, 1992","October 26, 1995",,
39,35,"\Ice Princess\"" / \""Paired with a Monster?! Ice Queen Mako\""",,
"\""Yōma to pea!? Hyōjō no joō Mako-chan\"" (妖魔とペア!?氷上の女王まこちゃん)""","January 9, 1993","October 27, 1995",,
40,36,"\Last Resort\"" / \""The Legendary Lake Monster! Usagi's Family Ties\""",,
"\""Mizuumi no densetsu yōkai! Usagi kazoku no kizuna\"" (湖の伝説妖怪!うさぎ家族のきずな)""","January 16, 1993","October 30, 1995",,
41,37,"\Tuxedo Unmasked\"" / \""I Won't Run from Love Anymore! Ami and Mamoru's Showdown\""",,
"\""Mō koi kara nigenai! Ami to Mamoru taiketsu\"" (もう恋から逃げない!亜美と衛対決)""","January 23, 1993","October 31, 1995",,
