No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date,Dummy_Col_1
42,--,\Sailor Venus' Past," Minako's Tragic Love\""",,GacQqn
"\""Sērā Vīnasu no kako"," Minako no higeki\"" (Sヴィーナスの過去"," 美奈子の悲劇)""","January 30, 1993",N/A,hNSykrp
43,38,"\Fractious Friends\"" / \""Is Usagi Going it Alone? The Sailor Warriors Get Into a Big Fight\""",,,BhBTqhgJ
"\""Usagi ga koritsu? Sērā Senshi-tachi no ōgenka\"" (うさぎが孤立?S戦士達の大ゲンカ)""","February 6, 1993","November 1, 1995",,,tGSBED
44,39,"\The Past Returns\"" / \""Usagi's Awakening! A Message from the Distant Past\""",,,gQrFzHHi
"\""Usagi no kakusei! Chōkako no messēji\"" (うさぎの覚醒!超過去のメッセージ)""","February 13, 1993","November 2, 1995",,,TXiSTy
45,40,"\Day of Destiny\"" / \""The Sailor Warriors Die! The Tragic Final Battle\""",,,ApVMfF
"\""Sērā Senshi shisu! Hisō naru saishūsen\"" (セーラー戦士死す!悲壮なる最終戦)""","February 20, 1993","November 3, 1995",,,UevThaC
46,40,"\Day of Destiny\"" / \""Usagi's Everlasting Wish! A New Reincarnation\""",,,MhfYTHr
"\""Usagi no omoi wa towa ni! Atarashiki tensei\"" (うさぎの想いは永遠に!新しき転生)""","February 27, 1993","November 3, 1995",,,MMtnr
