Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,1,Emerson Fittipaldi,McLaren-Ford,53,1:39:26.29,5,9
2,24,James Hunt,Hesketh-Ford,53,+ 5.91,6,6
3,7,Carlos Reutemann,Brabham-Ford,53,+ 17.06,3,4
4,11,Clay Regazzoni,Ferrari,53,+ 35.79,7,3
5,4,Patrick Depailler,Tyrrell-Ford,53,+ 54.25,8,2
6,12,Niki Lauda,Ferrari,53,+ 1:19.65,4,1
7,28,Mark Donohue,Penske-Ford,52,+ 1 Lap,16,
8,6,Jacky Ickx,Lotus-Ford,52,+ 1 Lap,18,
9,9,Vittorio Brambilla,March-Ford,52,+ 1 Lap,12,
10,22,Graham Hill,Lola-Ford,52,+ 1 Lap,21,
11,3,Jody Scheckter,Tyrrell-Ford,52,+ 1 Lap,9,
12,16,Tom Pryce,Shadow-Ford,51,Transmission,14,
