Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Irrelevant_1,Filler_2,Extra_Data_3
13,23,Rolf Stommelen,Lola-Ford,51,+ 2 Laps,19,,lZv5p40l,RSCNl,378
14,2,Jochen Mass,McLaren-Ford,50,+ 3 Laps,13,,ochzyvt,CZZMA,281
Ret,8,Carlos Pace,Brabham-Ford,46,Engine,2,,qAMb0Tro,xSUGwX,703
NC,20,Arturo Merzario,Williams-Ford,44,Not Classified,20,,ngoeAl,hpVtUQ,228
Ret,27,Mario Andretti,Parnelli-Ford,27,Transmission,10,,q3NULBb,PglzUBgx,856
Ret,14,Mike Wilds,BRM,24,Engine,22,,6DPBf,kvzED,773
Ret,5,Ronnie Peterson,Lotus-Ford,15,Engine,11,,G7UPf,awcanPFb,543
Ret,21,Jacques Laffite,Williams-Ford,15,Gearbox,17,,3NZTXOdB,zwHFpx,439
Ret,30,Wilson Fittipaldi,Fittipaldi-Ford,12,Accident,23,,lJ35Hu,cwjnAqP,884
DSQ,18,John Watson,Surtees-Ford,6,Disqualified,15,,42Tk4,RqvXIoI,422
DNS,17,Jean-Pierre Jarier,Shadow-Ford,0,Transmission,1,,arYbgR,PBUMyUEJ,196
