Year,Political Rights,Civil Liberties,Status,President,Unused_1,Dummy_Col_2,Random_Column_3
1982,7,6,Not Free,Seyni Kountché,,wwhUWt,Aw24PLEk
1983,7,6,Not Free,Seyni Kountché,,DljRKYv,GjUPzON
1984,7,6,Not Free,Seyni Kountché,,OymeWP,J2kXr
1985,7,6,Not Free,Seyni Kountché,,qzLwTWu,g4P0Q6Dr
1986,7,6,Not Free,Seyni Kountché,,ZubtKcWE,iil3XBS
1987,7,6,Not Free,Seyni Kountché,,evkSRGE,LLIGyO
1988,6,6,Not Free,Ali Saibou,,epnPCw,gr4tj
1989,7,6,Not Free,Ali Saibou,,GMwuItAn,OzF7t
1990,6,5,Not Free,Ali Saibou,,VbMZtJnN,GPQakmF
1991,6,5,Partly Free,Ali Saibou,,AQtqu,lYymaq7J
