Year,Political Rights,Civil Liberties,Status,President,Noise_Field_1,Random_Column_2,Extra_Data_3
1972,6,6,Not Free,Hamani Diori,BEmohKH,nX96g,196
1973,6,6,Not Free,Hamani Diori,HLMKXwa,tlq4JA,933
1974,7,6,Not Free,Hamani Diori,HXAUD,DjAO8,334
1975,7,6,Not Free,Seyni Kountché,nXwUsh,VAUWo2,595
1976,7,6,Not Free,Seyni Kountché,FLLxzi,JbAry,867
1977,7,6,Not Free,Seyni Kountché,ZnVpXB,J46BRdJW,71
1978,7,6,Not Free,Seyni Kountché,PmWkZ,fR32CRup,751
1979,7,6,Not Free,Seyni Kountché,pEddqQk,KndKi,958
1980,7,6,Not Free,Seyni Kountché,AkxfJrv,oe85S,14
1981,7,6,Not Free,Seyni Kountché,DLGungn,CiLhp,682
