Year,Political Rights,Civil Liberties,Status,President,Irrelevant_1
1992,5,4,Partly Free,Ali Saibou,fPmbqjw
1993,3,4,Partly Free,Ali Saibou,ezTSoww
1994,3,5,Partly Free,Mahamane Ousmane,J3sxIvB
1995,3,5,Partly Free,Mahamane Ousmane,BuHC8MDL
1996,7,5,Not Free,Mahamane Ousmane,UyW0B
1997,7,5,Not Free,Ibrahim Baré Maïnassara,XK2nBU8D
1998,7,5,Not Free,Ibrahim Baré Maïnassara,NAsGhx
1999,5,5,Partly Free,Ibrahim Baré Maïnassara,jz178ad
2000,4,4,Partly Free,Mamadou Tandja,yOil3oww
2001,4,4,Partly Free,Mamadou Tandja,d6V4E
