Rank,Bib,Country,Athletes,Run 1,Run 2,Run 3,Run 4,Total,Behind,Dummy_Col_1
,1,Canada (CAN-1),Kaillie HumphriesHeather Moyse,57.39,57.73,57.57,57.92,3:50.61,—,JbsgKvB
,2,United States (USA-1),Elana MeyersLauryn Williams,57.26 TR,57.63,57.69,58.13,3:50.71,+0.10,FfOzkQb
,3,United States (USA-2),Jamie GreubelAja Evans,57.45,58.00,58.00,58.16,3:51.61,+1.00,tWMzc
4,9,Netherlands (NED-1),Esmé KamphuisJudith Vis,57.94,58.10,58.20,58.03,3:52.27,+1.66,wGhWlicO
5,4,Germany (GER-1),Sandra KiriasisFranziska Fritz,57.95,58.08,58.06,58.20,3:52.29,+1.68,RJaNtiuP
6,10,Belgium (BEL-1),Elfje WillemsenHanna Mariën,57.92,58.02,58.33,58.30,3:52.57,+1.96,EExTEmHF
7,5,Germany (GER-2),Cathleen MartiniChristin Senkel,57.99,58.42,58.17,58.13,3:52.71,+2.10,ZZgWb
8,8,Switzerland (SUI-1),Fabienne MeyerTanja Mayer,58.18,58.34,58.29,58.39,3:53.20,+2.59,GCzVKt
9,11,Russia (RUS-1),Olga StulnevaLiudmila Udobkina,58.03,58.24,58.45,58.74,3:53.46,+2.85,xcaTJ
10,6,Germany (GER-3),Anja SchneiderheinzeStephanie Schneider,58.17,58.30,58.53,58.74,3:53.74,+3.13,jvyogX
