Position,Nation,Number,Name,Soproni Liga,UEFA Cup,Hungarian Cup,League Cup,Total,Noise_Field_1,Unused_2,Filler_3
1,,14,Gergely Rudolf,16,3,0,0,19,NIQPT,,WXaEKCeG
2,,41,Lóránt Oláh,12,1,0,0,13,mDsWpOsL,,ElHnKSh
3,,99,Omagbemi Dudu,4,1,5,0,10,LlQuYx,,fmONPk
4,,55,Péter Szakály,9,0,0,0,9,PCFGJnD,,uRXtZfOM
5,,77,Péter Czvitkovics,7,0,0,0,7,NKUBZ,,XtEQhun
6,,4,Leandro de Almeida,5,0,1,0,6,bRlrKwN,,gZaNz
7,,17,Norbert Mészáros,3,0,0,0,3,CGdJGG,,IAcUm
8,,8,Zsombor Kerekes,1,0,2,0,3,SBwmzKR,,UZrIis
9,,10,Igor Bogdanović,0,0,3,0,3,VCmhy,,rolKU
10,,2,István Szűcs,2,0,0,0,2,jwSwWuH,,lKnOsX
11,,30,Zoltán Kiss,2,0,0,0,2,bJcHJYd,,DmihaC
