Year,Winners,Score,Runners up,Notes
1968,Wrockwardine Wood,2-1,Tamworth,
1969,Bilston Town,2-1,Lichfield,
1970,Atherstone Town,4-3,Wrockwardine Wood,"Aggregate score,1st leg 1-2, 2nd leg 3-1"
1971,Baddesley Colliery,4-3,Atherstone Town,"Aggregate score,1st leg 2-2, 2nd leg 2-1"
1972,Bilston Town,4-1,Brereton Social,"Second replay,1st game 2-2 aet, 2nd game 2-2 aet"
1973,Bilston Town,1-0,Darlaston,
1974,Brereton Social,3-2,Warley County Borough,after extra time
1975,Blakenall,2-1,Armitage,
1976,Blakenall,1-0,Hednesford Town,
1977,Blakenall,1-0,Bilston Town,"Replay, 1st game 0-0 aet"
