Year,Winners,Score,Runners up,Notes,Dummy_Col_1,Filler_2
1998,Blakenall,2-1,Halesowen Harriers,,GXGMF,dargu
1999,Blakenall,3-2,Meir KA,,uZFBsOba,uRtjaGOy
2000,Rushall Olympic,2-2,Rocester,"after extra time,Rushall won 5-4 on penalties",uciee,EulBtPO
2001,Wolverhampton Casuals,2-0,Sutton Coldfield Town,,aDDFXDE,NFClM
2002,Bolehall Swifts,4-4,Tividale,"after extra time,Bolehall won 4-3 on penalties",vJQEmOx,LTuMi
2003,Tividale,1-0,Rocester,after extra time,NtuLejxM,WvoxvuWY
2004,Sutton Coldfield Town,3-1,Tividale,,LiuOf,moGllwIj
2005,Chasetown,2-1,Tividale,,YXTLMVqE,YasDrgCu
2006,Boldmere St Michaels,1-0,Tipton Town,,DIgyfmo,TbzmjaXN
2007,Boldmere St Michaels,3-1,Goodrich,,oRDLGCi,ksLmHe
