Year,Winners,Score,Runners up,Notes
1978,Sutton Coldfield Town,2-0,Alvechurch,
1979,Sutton Coldfield Town,1-0,Great Wyrley,
1980,Sutton Coldfield Town,1-0,Rushall Olympic,
1981,Blakenall,2-1,Sutton Coldfield Town,"Replay, 1st game 1-1 aet"
1982,Oldbury United,5-0,Walsall Wood,"Replay, 1st game 2-2 aet"
1983,Coleshill Town,4-3,Wolverhampton United,
1984,Atherstone Town,4-0,Tividale,
1985,Harrisons,2-0,Wolverhampton United,
1986,Paget Rangers,3-1,Wolverhampton Casuals,
1987,Boldmere St. Michaels,2-0,Bloxwich Town,
