Year,Winners,Score,Runners up,Notes
1957,Walsall Trinity,3-1,Walsall Wood,
1958,Walsall Wood,3-0,Stourbridge,
1959,Shelfield Athletic,4-0,Walsall Wood,
1960,Shelfield Athletic,3-0,Walsall Wood,
1961,Walsall Wood,7-0,Rugeley Villa,
1962,Walsall Wood,5-1,Blakenall,
1963,Armitage,2-1,Blakenall,
1964,Blakenall,3-0,Hednesford Town,
1965,Rushall Olympic,2-1,Brereton Social,
1966,Lower Gornal Athletic,4-2,Kidderminster Harriers,after extra time
1967,Wrockwardine Wood,2-1,Rushall Olympic,"Replay, 1st game 2-2 aet"
