Year,Winners,Score,Runners up,Notes
1988,Redgate United,1-0,Chasetown,after extra time
1989,Blakenall,1-0,Rushall Olympic,
1990,Meir KA,2-1,Rushall Olympic,"Replay, 1st game 0-0 aet"
1991,Chasetown,1-0,Blakenall,after extra time
1992,Armitage 90,3-2,Meir KA,after extra time
1993,Chasetown,3-1,Pelsall Villa,
1994,Newcastle Town,1-0,Oldbury United,after extra time
1995,Newcastle Town,1-1,Knypersley Victoria,"after extra time,Newcastle won on penalties"
1996,Blakenall,0-0,Newcastle Town,"after extra time,Blakenall won on penalties"
1997,Bloxwich Town,1-1,Blakenall,"after extra time,Bloxwich won on penalties"
